,City,Province,City and Province
0,Scugog,Ontario,"Scugog,Ontario"
1,Uxbridge,Ontario,"Uxbridge,Ontario"
2,Whitby,Ontario,"Whitby,Ontario"
3,Burlington,Ontario,"Burlington,Ontario"
4,Halton Hills,Ontario,"Halton Hills,Ontario"
5,Milton,Ontario,"Milton,Ontario"
6,Oakville,Ontario,"Oakville,Ontario"
7,Brampton,Ontario,"Brampton,Ontario"
8,Caledon,Ontario,"Caledon,Ontario"
9,Mississauga,Ontario,"Mississauga,Ontario"
10,Aurora,Ontario,"Aurora,Ontario"
11,East Gwillimbury,Ontario,"East Gwillimbury,Ontario"
12,Georgina,Ontario,"Georgina,Ontario"
13,King,Ontario,"King,Ontario"
14,Markham,Ontario,"Markham,Ontario"
15,Newmarket,Ontario,"Newmarket,Ontario"
16,Richmond Hill,Ontario,"Richmond Hill,Ontario"
17,Vaughan,Ontario,"Vaughan,Ontario"
18,Whitchurch Stouffville,Ontario,"Whitchurch Stouffville,Ontario"
19,Mono,Ontario,"Mono,Ontario"
20,Orangeville,Ontario,"Orangeville,Ontario"
21,Bradford West Gwillimbury,Ontario,"Bradford West Gwillimbury,Ontario"
22,New Tecumseth,Ontario,"New Tecumseth,Ontario"
23,Toronto,Ontario,"Toronto,Ontario"
